pr_title,pr_url,pr_number,state,author_name,author_url,created_at,updated_at,closed_at,merged_at,assignee_name,assignee_url,requested_reviewers,labels,milestone_title,commit_sha,commit_ref,base_branch,description,review_comments_url,commits_url,statuses_url,pr_author_association
refactor(client/challenge views): extract items into sharable components,https://github.com/freeCodeCamp/freeCodeCamp/pull/55946,55946,open,moT01,https://github.com/moT01,2024-08-26T19:31:02Z,2024-09-04T09:33:10Z,,,,,[],"['status: waiting review', 'platform: learn', 'scope: i18n']",,c39808841aa9e6c0e06383fd892e765fe406e39d,refactor/challenge-views,main,"Many of the view components for our challenges have duplicate features - e.g. multiple choice questions, assignments, and other things. This extracts the assignments, mc questions, and fill in the blanks into their own components - so we can reuse them in multiple places.

This will make it easier to add the many mc questions per challenge that I am trying to add.

There shouldn't be much for visible changes. A few minor things - mainly, it moves the ""Please complete the assignments"" to right below the assignments.

Also, if I get around to it - the end goal might be to have a single view component that incorporates all these features.

Checklist:

<!-- Please follow this checklist and put an x in each of the boxes, like this: [x]. It will ensure that our team takes your pull request seriously. -->

- [x] I have read and followed the [contribution guidelines](https://contribute.freecodecamp.org).
- [x] I have read and followed the [how to open a pull request guide](https://contribute.freecodecamp.org/how-to-open-a-pull-request/).
- [x] My pull request targets the `main` branch of freeCodeCamp.
- [x] I have tested these changes either locally on my machine, or GitPod.

<!--If your pull request closes a GitHub issue, replace the XXXXX below with the issue number.-->

Closes #XXXXX

<!-- Feel free to add any additional description of changes below this line -->
",https://api.github.com/repos/freeCodeCamp/freeCodeCamp/pulls/55946/comments,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/pulls/55946/commits,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/statuses/c39808841aa9e6c0e06383fd892e765fe406e39d,MEMBER
fix(client): empty space below codePane after resizing classic layout,https://github.com/freeCodeCamp/freeCodeCamp/pull/55936,55936,open,gikf,https://github.com/gikf,2024-08-25T12:08:01Z,2024-08-29T11:53:25Z,,,,,[],"['type: bug', 'status: waiting review', 'scope: UI', 'platform: learn']",,003f864da1f43f2f0b62b42b7283c7dc4f14ba8b,fix/empty-space-below-codePane,main,"Checklist:

- [x] I have read and followed the [contribution guidelines](https://contribute.freecodecamp.org).
- [x] I have read and followed the [how to open a pull request guide](https://contribute.freecodecamp.org/how-to-open-a-pull-request/).
- [x] My pull request targets the `main` branch of freeCodeCamp.
- [x] I have tested these changes either locally on my machine, or GitPod.

Closes #55931

- - -
- `flex` attribute/value is added to `codePane` in a limited number of cases.
",https://api.github.com/repos/freeCodeCamp/freeCodeCamp/pulls/55936/comments,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/pulls/55936/commits,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/statuses/003f864da1f43f2f0b62b42b7283c7dc4f14ba8b,MEMBER
feat(Curriculum) Add tasks B1 Block 3,https://github.com/freeCodeCamp/freeCodeCamp/pull/55932,55932,open,nieldakarla,https://github.com/nieldakarla,2024-08-23T22:10:01Z,2024-08-27T21:04:58Z,,,,,[],"['scope: curriculum', 'scope: i18n', 'new english course']",,1c9676a10e104bf803822bc7c82640e5f840e418,feat/B3,main,"Checklist:

<!-- Please follow this checklist and put an x in each of the boxes, like this: [x]. It will ensure that our team takes your pull request seriously. -->

- [x] I have read and followed the [contribution guidelines](https://contribute.freecodecamp.org).
- [x] I have read and followed the [how to open a pull request guide](https://contribute.freecodecamp.org/how-to-open-a-pull-request/).
- [x] My pull request targets the `main` branch of freeCodeCamp.
- [x] I have tested these changes either locally on my machine, or GitPod.

<!--If your pull request closes a GitHub issue, replace the XXXXX below with the issue number.-->

<!-- Feel free to add any additional description of changes below this line -->
",https://api.github.com/repos/freeCodeCamp/freeCodeCamp/pulls/55932/comments,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/pulls/55932/commits,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/statuses/1c9676a10e104bf803822bc7c82640e5f840e418,CONTRIBUTOR
feat(challenge-parser): allow many questions in MC challenge,https://github.com/freeCodeCamp/freeCodeCamp/pull/55928,55928,open,moT01,https://github.com/moT01,2024-08-23T15:42:20Z,2024-09-03T13:34:01Z,,,,,[],"['status: blocked', 'scope: curriculum', 'platform: learn', 'scope: tools/scripts']",,6e6973acb4c672937c5b05ac75e3300b0b22a647,feat/many-questions-challenge-2,main,"Second attempt at this. 

It's a start to allowing many multiple choice questions on a single challenge. It adjusts the challenge parser to allow more questions by just adding additional `--text--`, `--answers--`, and `--video-solution--` headers - and puts all the questions in an array.

For now, the client just gets the first in the array and uses the rest of the existing code. I will make another PR to map over them and display them all.

To test: you can find any multiple choice challenge, add an additional questions by copy/pasting the question that's there - just the `text`, `answers` and `video-solution` part. To end up with something like this:

```
# --questions--

## --text--

When making a request from the Twitter API, what information must always be sent with the request?

## --answers--

Twitter username

---

date range

---

search term

---

key

## --video-solution--

4

## --text--

When making a request from the Twitter API, what information must always be sent with the request?

## --answers--

Twitter username

---

date range

---

search term

---

key

## --video-solution--

4
```

Then find the challenge in graphiql and check the questions.

One extra change I made was to move all the `--assignment--` headers that were nested in a question to outside of the question. Those were all in the Odin section.

Checklist:

<!-- Please follow this checklist and put an x in each of the boxes, like this: [x]. It will ensure that our team takes your pull request seriously. -->

- [x] I have read and followed the [contribution guidelines](https://contribute.freecodecamp.org).
- [x] I have read and followed the [how to open a pull request guide](https://contribute.freecodecamp.org/how-to-open-a-pull-request/).
- [x] My pull request targets the `main` branch of freeCodeCamp.
- [x] I have tested these changes either locally on my machine, or GitPod.

<!--If your pull request closes a GitHub issue, replace the XXXXX below with the issue number.-->

Closes #XXXXX

<!-- Feel free to add any additional description of changes below this line -->

Partially addresses https://github.com/freeCodeCamp/fCC10/issues/19

Todo:
-Make client handle many questions
-Update docs",https://api.github.com/repos/freeCodeCamp/freeCodeCamp/pulls/55928/comments,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/pulls/55928/commits,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/statuses/6e6973acb4c672937c5b05ac75e3300b0b22a647,MEMBER
fix closing editor panes,https://github.com/freeCodeCamp/freeCodeCamp/pull/55920,55920,open,Inventoris,https://github.com/Inventoris,2024-08-22T11:49:28Z,2024-09-02T15:16:39Z,,,,,[],"['scope: UI', 'status: waiting update', 'platform: learn']",,d7666e71f83c2a2d3210f30516453768576eaa50,fix/closing-editor-panes,main,"Checklist:

<!-- Please follow this checklist and put an x in each of the boxes, like this: [x]. It will ensure that our team takes your pull request seriously. -->

- [x] I have read and followed the [contribution guidelines](https://contribute.freecodecamp.org).
- [x] I have read and followed the [how to open a pull request guide](https://contribute.freecodecamp.org/how-to-open-a-pull-request/).
- [x] My pull request targets the `main` branch of freeCodeCamp.
- [x] I have tested these changes either locally on my machine, or GitPod.

<!--If your pull request closes a GitHub issue, replace the XXXXX below with the issue number.-->

Closes #55864

<!-- Feel free to add any additional description of changes below this line -->

Hi! I looked into the issue and noticed that when saving the code, createFiles is executed, in which visibleEditors is set to one main tab by default. I added code so that if state.visibleEditors contains current tabs at the time createFiles is launched, then visibleEditors will contain exactly them.",https://api.github.com/repos/freeCodeCamp/freeCodeCamp/pulls/55920/comments,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/pulls/55920/commits,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/statuses/d7666e71f83c2a2d3210f30516453768576eaa50,NONE
fix: update upper jaw view zone when upper jaw height changes,https://github.com/freeCodeCamp/freeCodeCamp/pull/55919,55919,open,Sembauke,https://github.com/Sembauke,2024-08-22T08:31:10Z,2024-09-04T09:36:09Z,,,,,[],"['platform: learn', 'status: merge conflict']",,6fd70efae0056451f106cb11adf8376214271e63,feat/adjust-upper-jaw-height-accordingly,main,"Checklist:

<!-- Please follow this checklist and put an x in each of the boxes, like this: [x]. It will ensure that our team takes your pull request seriously. -->

- [x] I have read and followed the [contribution guidelines](https://contribute.freecodecamp.org).
- [x] I have read and followed the [how to open a pull request guide](https://contribute.freecodecamp.org/how-to-open-a-pull-request/).
- [x] My pull request targets the `main` branch of freeCodeCamp.
- [x] I have tested these changes either locally on my machine, or GitPod.

<!--If your pull request closes a GitHub issue, replace the XXXXX below with the issue number.-->

Closes #55880

<!-- Feel free to add any additional description of changes below this line -->
",https://api.github.com/repos/freeCodeCamp/freeCodeCamp/pulls/55919/comments,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/pulls/55919/commits,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/statuses/6fd70efae0056451f106cb11adf8376214271e63,MEMBER
feat: create session-completed-challenges cookie,https://github.com/freeCodeCamp/freeCodeCamp/pull/55918,55918,open,ahmaxed,https://github.com/ahmaxed,2024-08-22T08:25:08Z,2024-08-31T05:28:31Z,,,,,[],"['status: waiting review', 'platform: learn']",,5035fbc44e3cfcdc494f6646a989b5fb5a7bd4b5,fix/move-completed-count-to-sessionStorage,main,"This pr replaces in session related challenge completion redux state with cookies. 

Checklist:

<!-- Please follow this checklist and put an x in each of the boxes, like this: [x]. It will ensure that our team takes your pull request seriously. -->

- [x] I have read [freeCodeCamp's contribution guidelines](https://contribute.freecodecamp.org).
- [x] My pull request has a descriptive title (not a vague title like `Update index.md`)
- [x] My pull request targets the `main` branch of freeCodeCamp.
- [x] I have tested these changes either locally on my machine, or GitPod.

<!--If your pull request closes a GitHub issue, replace the XXXXX below with the issue number.-->

Closes #55745

<!-- Feel free to add any additional description of changes below this line -->
",https://api.github.com/repos/freeCodeCamp/freeCodeCamp/pulls/55918/comments,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/pulls/55918/commits,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/statuses/5035fbc44e3cfcdc494f6646a989b5fb5a7bd4b5,MEMBER
feat(curriculum): add leap year lab,https://github.com/freeCodeCamp/freeCodeCamp/pull/55890,55890,open,zairahira,https://github.com/zairahira,2024-08-17T09:58:20Z,2024-09-04T18:20:42Z,,,,,"[{'reviewer_name': 'Sembauke', 'reviewer_url': 'https://github.com/Sembauke'}]","['status: waiting review', 'scope: curriculum', 'platform: learn', 'scope: i18n', 'frontend cert']",,2afa182d60b45bc0a08cb77d07de4b47b9c7e155,feat/add-leap-year-lab,main,"Checklist:

<!-- Please follow this checklist and put an x in each of the boxes, like this: [x]. It will ensure that our team takes your pull request seriously. -->

- [x] I have read and followed the [contribution guidelines](https://contribute.freecodecamp.org).
- [x] I have read and followed the [how to open a pull request guide](https://contribute.freecodecamp.org/how-to-open-a-pull-request/).
- [x] My pull request targets the `main` branch of freeCodeCamp.
- [x] I have tested these changes either locally on my machine, or GitPod.

<!--If your pull request closes a GitHub issue, replace the XXXXX below with the issue number.-->

Closes #XXXXX

<!-- Feel free to add any additional description of changes below this line -->
",https://api.github.com/repos/freeCodeCamp/freeCodeCamp/pulls/55890/comments,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/pulls/55890/commits,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/statuses/2afa182d60b45bc0a08cb77d07de4b47b9c7e155,MEMBER
feat(curriculum): add to-do list lab,https://github.com/freeCodeCamp/freeCodeCamp/pull/55886,55886,open,zairahira,https://github.com/zairahira,2024-08-17T08:10:30Z,2024-09-04T08:41:37Z,,,,,"[{'reviewer_name': 'moT01', 'reviewer_url': 'https://github.com/moT01'}]","['status: waiting review', 'scope: curriculum', 'platform: learn', 'scope: i18n', 'frontend cert']",,2ac906e26cd4ace997fe48ee9f233f0ac397ac68,feat/add-todo-list-lab,main,"Checklist:

<!-- Please follow this checklist and put an x in each of the boxes, like this: [x]. It will ensure that our team takes your pull request seriously. -->

- [x] I have read and followed the [contribution guidelines](https://contribute.freecodecamp.org).
- [x] I have read and followed the [how to open a pull request guide](https://contribute.freecodecamp.org/how-to-open-a-pull-request/).
- [x] My pull request targets the `main` branch of freeCodeCamp.
- [x] I have tested these changes either locally on my machine, or GitPod.

<!--If your pull request closes a GitHub issue, replace the XXXXX below with the issue number.-->

Closes #XXXXX

<!-- Feel free to add any additional description of changes below this line -->
",https://api.github.com/repos/freeCodeCamp/freeCodeCamp/pulls/55886/comments,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/pulls/55886/commits,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/statuses/2ac906e26cd4ace997fe48ee9f233f0ac397ac68,MEMBER
feat(curriculum): add favourite icon toggler lab,https://github.com/freeCodeCamp/freeCodeCamp/pull/55885,55885,open,zairahira,https://github.com/zairahira,2024-08-17T08:09:48Z,2024-08-30T14:55:34Z,,,,,[],"['scope: curriculum', 'platform: learn', 'scope: i18n', 'frontend cert']",,f155930a5cb6dab62bd8f7014e9287f16180e764,feat/add-favourite-icon-toggler-lab,main,"Checklist:

<!-- Please follow this checklist and put an x in each of the boxes, like this: [x]. It will ensure that our team takes your pull request seriously. -->

- [x] I have read and followed the [contribution guidelines](https://contribute.freecodecamp.org).
- [x] I have read and followed the [how to open a pull request guide](https://contribute.freecodecamp.org/how-to-open-a-pull-request/).
- [x] My pull request targets the `main` branch of freeCodeCamp.
- [x] I have tested these changes either locally on my machine, or GitPod.

<!--If your pull request closes a GitHub issue, replace the XXXXX below with the issue number.-->

Closes #XXXXX

<!-- Feel free to add any additional description of changes below this line -->
",https://api.github.com/repos/freeCodeCamp/freeCodeCamp/pulls/55885/comments,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/pulls/55885/commits,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/statuses/f155930a5cb6dab62bd8f7014e9287f16180e764,MEMBER
